,episode,duration,G,loss,gamma,n_step,semi_gradient,alpha
0,72,201,200.0,0.12225855886936188,0.8,3,True,0.001
0,73,201,200.0,0.023575032129883766,0.8,3,True,0.001
0,74,201,200.0,0.060558926314115524,0.8,3,True,0.001
0,75,66,65.0,0.10583344846963882,0.8,3,True,0.001
0,76,17,16.0,0.10487101227045059,0.8,3,True,0.001
0,77,92,91.0,0.08896436542272568,0.8,3,True,0.001
0,78,44,43.0,0.1630403697490692,0.8,3,True,0.001
0,79,201,200.0,0.01123384851962328,0.8,3,True,0.001
0,80,201,200.0,0.08147436380386353,0.8,3,True,0.001
0,81,201,200.0,0.0778341069817543,0.8,3,True,0.001
0,82,201,200.0,0.0064283632673323154,0.8,3,True,0.001
0,83,46,45.0,0.13509441912174225,0.8,3,True,0.001
0,84,201,200.0,0.008611979894340038,0.8,3,True,0.001
0,85,201,200.0,0.02715567871928215,0.8,3,True,0.001
0,86,135,134.0,0.3372483551502228,0.8,3,True,0.001
0,87,201,200.0,0.024589262902736664,0.8,3,True,0.001
0,88,77,76.0,0.022962424904108047,0.8,3,True,0.001
0,89,107,106.0,0.06606519967317581,0.8,3,True,0.001
0,90,201,200.0,0.1322447508573532,0.8,3,True,0.001
0,91,201,200.0,0.2420729696750641,0.8,3,True,0.001
0,92,108,107.0,0.02578026056289673,0.8,3,True,0.001
0,93,193,192.0,0.2696557641029358,0.8,3,True,0.001
0,94,106,105.0,0.09909878671169281,0.8,3,True,0.001
0,95,201,200.0,0.14490321278572083,0.8,3,True,0.001
0,96,153,152.0,0.015944495797157288,0.8,3,True,0.001
0,97,201,200.0,0.06528332829475403,0.8,3,True,0.001
0,98,181,180.0,0.23562049865722656,0.8,3,True,0.001
0,99,175,174.0,0.029442470520734787,0.8,3,True,0.001
0,0,12,11.0,0,0.8,3,True,0.001
0,1,15,14.0,0,0.8,3,True,0.001
0,2,15,14.0,8.542205810546875,0.8,3,True,0.001
0,3,17,16.0,6.117732048034668,0.8,3,True,0.001
0,4,21,20.0,3.3333740234375,0.8,3,True,0.001
0,5,35,34.0,1.9055976867675781,0.8,3,True,0.001
0,6,16,15.0,1.9954042434692383,0.8,3,True,0.001
0,7,23,22.0,0.9288575649261475,0.8,3,True,0.001
0,8,21,20.0,1.105488896369934,0.8,3,True,0.001
0,9,16,15.0,0.5292636752128601,0.8,3,True,0.001
0,10,28,27.0,0.45003947615623474,0.8,3,True,0.001
0,11,20,19.0,0.7311596870422363,0.8,3,True,0.001
0,12,28,27.0,0.5036619305610657,0.8,3,True,0.001
0,13,35,34.0,0.2588087320327759,0.8,3,True,0.001
0,14,40,39.0,0.3369099497795105,0.8,3,True,0.001
0,15,78,77.0,0.1820952296257019,0.8,3,True,0.001
0,16,191,190.0,0.22919262945652008,0.8,3,True,0.001
0,17,117,116.0,0.26058143377304077,0.8,3,True,0.001
0,18,201,200.0,0.065925233066082,0.8,3,True,0.001
0,19,145,144.0,0.08330413699150085,0.8,3,True,0.001
0,20,160,159.0,0.06439529359340668,0.8,3,True,0.001
0,21,177,176.0,0.2092086374759674,0.8,3,True,0.001
0,22,172,171.0,0.10739870369434357,0.8,3,True,0.001
0,23,134,133.0,0.034558527171611786,0.8,3,True,0.001
0,24,193,192.0,0.03142078220844269,0.8,3,True,0.001
0,25,178,177.0,0.03315211459994316,0.8,3,True,0.001
0,26,199,198.0,0.08612807840108871,0.8,3,True,0.001
0,27,180,179.0,0.035294778645038605,0.8,3,True,0.001
0,28,168,167.0,0.032382939010858536,0.8,3,True,0.001
0,29,176,175.0,0.15217208862304688,0.8,3,True,0.001
0,30,201,200.0,0.03279833868145943,0.8,3,True,0.001
0,31,197,196.0,0.031697001308202744,0.8,3,True,0.001
0,32,161,160.0,0.050846487283706665,0.8,3,True,0.001
0,33,60,59.0,0.027484960854053497,0.8,3,True,0.001
0,34,201,200.0,0.031824834644794464,0.8,3,True,0.001
0,35,201,200.0,0.026564648374915123,0.8,3,True,0.001
0,36,201,200.0,0.07416748255491257,0.8,3,True,0.001
0,37,201,200.0,0.014538493007421494,0.8,3,True,0.001
0,38,199,198.0,0.046807661652565,0.8,3,True,0.001
0,39,198,197.0,0.029756544157862663,0.8,3,True,0.001
0,40,201,200.0,0.018725557252764702,0.8,3,True,0.001
0,41,201,200.0,0.24467729032039642,0.8,3,True,0.001
0,42,196,195.0,0.032580602914094925,0.8,3,True,0.001
0,43,201,200.0,0.012682091444730759,0.8,3,True,0.001
0,44,168,167.0,0.062093429267406464,0.8,3,True,0.001
0,45,201,200.0,0.06772509217262268,0.8,3,True,0.001
0,46,173,172.0,0.016953082755208015,0.8,3,True,0.001
0,47,14,13.0,0.002872573444619775,0.8,3,True,0.001
0,48,201,200.0,0.010744115337729454,0.8,3,True,0.001
0,49,201,200.0,0.012241894379258156,0.8,3,True,0.001
0,50,200,199.0,0.03924543783068657,0.8,3,True,0.001
0,51,198,197.0,0.2730000913143158,0.8,3,True,0.001
0,52,185,184.0,0.00822523608803749,0.8,3,True,0.001
0,53,201,200.0,0.010212612338364124,0.8,3,True,0.001
0,54,201,200.0,0.037099748849868774,0.8,3,True,0.001
0,55,201,200.0,0.0066864946857094765,0.8,3,True,0.001
0,56,190,189.0,0.009022172540426254,0.8,3,True,0.001
0,57,201,200.0,0.2410518229007721,0.8,3,True,0.001
0,58,201,200.0,0.0025385557673871517,0.8,3,True,0.001
0,59,201,200.0,0.03484409675002098,0.8,3,True,0.001
0,60,34,33.0,0.011468701995909214,0.8,3,True,0.001
0,61,201,200.0,0.1703227013349533,0.8,3,True,0.001
0,62,201,200.0,0.0600527785718441,0.8,3,True,0.001
0,63,201,200.0,0.017676832154393196,0.8,3,True,0.001
0,64,201,200.0,0.006473522633314133,0.8,3,True,0.001
0,65,69,68.0,0.017230693250894547,0.8,3,True,0.001
0,66,201,200.0,0.16287098824977875,0.8,3,True,0.001
0,67,165,164.0,0.05798344686627388,0.8,3,True,0.001
0,68,81,80.0,0.12263590097427368,0.8,3,True,0.001
0,69,201,200.0,0.004497780464589596,0.8,3,True,0.001
0,70,115,114.0,0.05865243822336197,0.8,3,True,0.001
0,71,118,117.0,0.09636356681585312,0.8,3,True,0.001
0,72,201,200.0,0.009543534368276596,0.8,3,True,0.001
0,73,201,200.0,0.08584479987621307,0.8,3,True,0.001
0,74,201,200.0,0.16293226182460785,0.8,3,True,0.001
0,75,201,200.0,0.07694041728973389,0.8,3,True,0.001
0,76,201,200.0,0.08310927450656891,0.8,3,True,0.001
0,77,127,126.0,0.027254486456513405,0.8,3,True,0.001
0,78,201,200.0,0.13197754323482513,0.8,3,True,0.001
0,79,201,200.0,0.011457403190433979,0.8,3,True,0.001
0,80,201,200.0,0.007774701341986656,0.8,3,True,0.001
0,81,201,200.0,0.05475413054227829,0.8,3,True,0.001
0,82,201,200.0,0.06752224266529083,0.8,3,True,0.001
0,83,201,200.0,0.014947731979191303,0.8,3,True,0.001
0,84,201,200.0,0.01892218366265297,0.8,3,True,0.001
0,85,201,200.0,0.16944235563278198,0.8,3,True,0.001
0,86,201,200.0,0.012248518876731396,0.8,3,True,0.001
0,87,201,200.0,0.047396812587976456,0.8,3,True,0.001
0,88,199,198.0,0.009782680310308933,0.8,3,True,0.001
0,89,201,200.0,0.1039925217628479,0.8,3,True,0.001
0,90,201,200.0,0.09535330533981323,0.8,3,True,0.001
0,91,186,185.0,0.30374717712402344,0.8,3,True,0.001
0,92,201,200.0,0.007695198059082031,0.8,3,True,0.001
0,93,201,200.0,0.0652703121304512,0.8,3,True,0.001
0,94,98,97.0,0.1058172732591629,0.8,3,True,0.001
0,95,201,200.0,0.08159330487251282,0.8,3,True,0.001
0,96,201,200.0,0.2290298342704773,0.8,3,True,0.001
0,97,201,200.0,0.450378954410553,0.8,3,True,0.001
0,98,200,199.0,0.01302239578217268,0.8,3,True,0.001
0,99,201,200.0,0.01620226353406906,0.8,3,True,0.001
0,0,13,12.0,0,0.8,3,True,0.001
0,1,15,14.0,0,0.8,3,True,0.001
0,2,13,12.0,10.130416870117188,0.8,3,True,0.001
0,3,21,20.0,5.942505836486816,0.8,3,True,0.001
0,4,15,14.0,4.106469631195068,0.8,3,True,0.001
0,5,27,26.0,2.2440667152404785,0.8,3,True,0.001
0,6,16,15.0,1.787712812423706,0.8,3,True,0.001
0,7,16,15.0,1.7351206541061401,0.8,3,True,0.001
0,8,43,42.0,0.8837639689445496,0.8,3,True,0.001
0,9,25,24.0,0.5712746381759644,0.8,3,True,0.001
0,10,45,44.0,0.7320880889892578,0.8,3,True,0.001
0,11,96,95.0,0.395906537771225,0.8,3,True,0.001
0,12,79,78.0,0.25545433163642883,0.8,3,True,0.001
0,13,86,85.0,0.14371030032634735,0.8,3,True,0.001
0,14,69,68.0,0.3805576264858246,0.8,3,True,0.001
0,15,99,98.0,0.3038397431373596,0.8,3,True,0.001
0,16,160,159.0,0.20239681005477905,0.8,3,True,0.001
0,17,166,165.0,0.07307157665491104,0.8,3,True,0.001
0,18,181,180.0,0.09731318801641464,0.8,3,True,0.001
0,19,201,200.0,0.03740786761045456,0.8,3,True,0.001
0,20,201,200.0,0.03142546862363815,0.8,3,True,0.001
0,21,201,200.0,0.020451638847589493,0.8,3,True,0.001
0,22,201,200.0,0.2109639048576355,0.8,3,True,0.001
0,23,201,200.0,0.17379529774188995,0.8,3,True,0.001
0,24,201,200.0,0.06313219666481018,0.8,3,True,0.001
